dep_gene,paralog_gene,mean_identical_score,delta_z,group,rank,rank_pct
IL1RL1,IL1RAPL1,22.1621,40.00419796910137,Non-significant background,1,0.003587701359738815
SUN1,SUN3,23.22755,26.921225681900975,Non-significant background,2,0.00717540271947763
MT1H,MT1HL1,95.082,20.099963933229446,Non-significant background,3,0.010763104079216447
FERD3L,TWIST2,22.7071,19.643652023747563,Non-significant background,4,0.01435080543895526
FOXE3,FOXB2,22.3434,19.24440936744213,Non-significant background,5,0.017938506798694076
CEACAM21,CEACAM16,25.9466,18.833922568708655,Non-significant background,6,0.021526208158432893
PABPC1,PABPC4L,57.07165,17.436389412730932,Non-significant background,7,0.025113909518171704
PTBP1,PTBP2,72.28395,15.845024517737327,Non-significant background,8,0.02870161087791052
ADAM8,ADAM2,22.7811,15.423200771212578,Non-significant background,9,0.03228931223764934
PITX1,OTP,20.6634,14.75133516365895,Non-significant background,10,0.03587701359738815
AKR1C1,AKR1C4,82.6625,14.531898126006126,Non-significant background,11,0.039464714957126966
CRYZL1,VAT1L,20.22005,13.684275323525071,Non-significant background,12,0.04305241631686579
ST3GAL1,ST6GALNAC2,22.74065,13.574340932071207,Non-significant background,13,0.0466401176766046
OSCAR,LILRA5,28.5871,12.77863397449255,Non-significant background,14,0.05022781903634341
SLC30A1,SLC30A2,22.60375,12.409351544454694,Non-significant background,15,0.05381552039608223
IRX4,IRX6,37.9373,12.217456138692796,Non-significant background,16,0.05740322175582104
STK11,CAMK1G,20.50795,11.808833066374063,Non-significant background,17,0.06099092311555986
PRRX2,SEBOX,20.2746,11.572300523519516,Non-significant background,18,0.06457862447529868
SLC38A6,SLC38A2,43.7773,11.064835861325264,Non-significant background,19,0.0681663258350375
B3GNT9,B3GNT3,34.9362,10.433351803570986,Non-significant background,20,0.0717540271947763
ITGB2,ITGB6,37.64205,10.293902900069952,Non-significant background,21,0.07534172855451512
PHKG2,PSKH2,24.2902,9.97006624378264,Non-significant background,22,0.07892942991425393
FABP5,PMP2,56.1869,9.935910057276487,Non-significant background,23,0.08251713127399275
NLRP2,NLRP13,27.93575,9.532903116196394,Non-significant background,24,0.08610483263373157
IL36RN,IL36B,28.84735,9.349928755313158,Non-significant background,25,0.0896925339934704
HNRNPF,ESRP1,24.81965,9.331301588565111,Non-significant background,26,0.0932802353532092
