dep_gene,paralog_gene,mean_identical_score,delta_z,direction
USP9X,USP9Y,91.6422,-0.7956866547465324,g2_to_g1
HSFY2,HSFX4,21.16255,1.212352043017745,g1_to_g2
HSFY2,HSFX3,21.16255,-0.4981406256556511,g1_to_g2
KDM5D,KDM5C,85.5154,0.10849568247795105,g1_to_g2
KDM5C,KDM5D,85.5154,0.22316955402493477,g2_to_g1
KDM5D,KDM5A,49.2871,0.4378756769001484,g1_to_g2
KDM5A,KDM5D,49.2871,-0.841332983225584,g2_to_g1
KDM5D,KDM5B,44.7617,0.7435832321643829,g1_to_g2
KDM5B,KDM5D,44.7617,-0.2916572503745556,g2_to_g1
TGIF2LY,TGIF2LX,74.5273,0.0,g1_to_g2
TGIF2LX,TGIF2LY,74.5273,0.0,g2_to_g1
TGIF2LY,TGIF1,25.88335,-1.0516186282038689,g1_to_g2
TGIF1,TGIF2LY,25.88335,0.0,g2_to_g1
TGIF2LY,TGIF2,28.87445,-0.545018213801086,g1_to_g2
TGIF2,TGIF2LY,28.87445,0.0,g2_to_g1
SRY,SOX15,28.04115,0.09830268658697605,g1_to_g2
SOX15,SRY,28.04115,-0.07873454131186008,g2_to_g1
SRY,SOX14,26.29905,0.0,g1_to_g2
SOX14,SRY,26.29905,-0.07873454131186008,g2_to_g1
SRY,SOX3,23.93275,-0.117375198751688,g1_to_g2
SOX3,SRY,23.93275,-0.07873454131186008,g2_to_g1
SRY,SOX7,20.19405,0.6660267263650894,g1_to_g2
SOX7,SRY,20.19405,-0.07873454131186008,g2_to_g1
SRY,SOX2,25.3781,0.13963976502418518,g1_to_g2
SOX2,SRY,25.3781,-0.07873454131186008,g2_to_g1
SRY,SOX18,20.26655,-0.3627847731113434,g1_to_g2
SOX18,SRY,20.26655,-0.07873454131186008,g2_to_g1
SRY,SOX17,21.22055,-0.034039609134197235,g1_to_g2
SOX17,SRY,21.22055,-0.07873454131186008,g2_to_g1
SRY,SOX21,26.428,-0.09485486149787903,g1_to_g2
SOX21,SRY,26.428,-0.07873454131186008,g2_to_g1
SRY,SOX1,25.3623,2.8386146556586027,g1_to_g2
SOX1,SRY,25.3623,-0.07873454131186008,g2_to_g1
ZFY,ZNF711,58.33415,0.23140990734100342,g1_to_g2
ZNF711,ZFY,58.33415,-0.05344748497009277,g2_to_g1
ZFY,ZFX,92.65315,1.1451097130775452,g1_to_g2
ZFX,ZFY,92.65315,1.5993805527687073,g2_to_g1
UTY,KDM6B,27.975,0.3896195534616709,g1_to_g2
KDM6B,UTY,27.975,-2.3240805938839912,g2_to_g1
UTY,KDM6A,86.22795,-0.21908408403396606,g1_to_g2
KDM6A,UTY,86.22795,0.15022187680006027,g2_to_g1
TMSB4Y,TMSB4X,93.1818,0.4161722012795508,g1_to_g2
TMSB4X,TMSB4Y,93.1818,1.1092586368322372,g2_to_g1
TBL1X,TBL1Y,87.02415,-0.2491358108818531,g2_to_g1
TBL1XR1,TBL1Y,85.33325,-0.2491358108818531,g2_to_g1
CES2,NLGN4Y,27.46275,3.239452963229269,g2_to_g1
CES3,NLGN4Y,26.0852,0.1967871687375009,g2_to_g1
NLGN3,NLGN4Y,70.9062,-0.3814938613213599,g2_to_g1
CES4A,NLGN4Y,27.9998,-0.3814938613213599,g2_to_g1
NLGN2,NLGN4Y,61.87915,-0.3814938613213599,g2_to_g1
MIPEP,NLN,23.9953,-1.3397216200828552,g1_to_g2
