kd_gene,gene_set_library,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
TDRP,MSigDB_Hallmark_2020,prerank,Oxidative Phosphorylation,0.40156110946850754,1.2805439305680049,0.008849557522123894,0.5635645880546823,0.432,94/200,22.21%,TCIRG1;ATP6V0C;MAOB;NDUFC2;DLD;ATP5PB;PRDX3;NDUFB2;CYB5A;HSPA9;ATP6V1F;HADHB;PDHX;SLC25A20;ETFA;MDH1;CS;NDUFAB1;TIMM13;RHOT1;NDUFA6;NDUFA3;ATP6V0E1;COX7B;GPX4;CYB5R3;HCCS;ATP5PO;BDH2;MTX2;SLC25A3;ATP5MC2;COX6B1;COX11;PDHA1;ATP5F1B;COX4I1;BCKDHA;PDHB;ACADM;ATP5F1C;CYC1;NDUFA1;VDAC3;NDUFS7;ATP5MG;ECH1;ETFB;FXN;ISCU;ATP6V0B;NDUFB5;SLC25A5;ATP6V1D;ALAS1;DECR1;CYCS;MRPS22;IDH3B;CASP7;SURF1;MGST3;ATP6V1E1;MDH2;PHB2;NDUFS6;COX17;ATP6V1C1;NDUFB1;COX6A1;NDUFS3;ISCA1;NDUFA9;MFN2;UQCRQ;UQCRC2;MRPL35;ACAA1;NDUFS4;ATP5MC1;TOMM22;ATP5F1D;PMPCA;PHYH;MRPS30;MTRF1;MRPL34;SDHA;FDX1;SLC25A4;ATP5PD;TIMM17A;ETFDH;SLC25A11
TDRP,MSigDB_Hallmark_2020,prerank,Pancreas Beta Cells,0.5057825864912816,1.2449358187010373,0.12654320987654322,0.38917318517435484,0.547,13/40,16.98%,FOXA2;SCGN;INSM1;CHGA;PCSK1;MAFB;SPCS1;SRP14;PCSK2;SRP9;SYT13;DPP4;AKT3
TDRP,MSigDB_Hallmark_2020,prerank,Notch Signaling,-0.5544610760616117,-1.2403565713740914,0.14397496087636932,1.0,0.914,17/32,22.89%,DTX1;KAT2A;WNT5A;DTX4;SAP30;NOTCH3;FZD1;NOTCH1;PRKCA;ARRB1;DLL1;NOTCH2;JAG1;TCF7L2;CUL1;CCND1;SKP1
TDRP,MSigDB_Hallmark_2020,prerank,Wnt-beta Catenin Signaling,-0.4848399634086853,-1.1491659869313045,0.2330246913580247,1.0,0.993,19/42,23.35%,KAT2A;HEY2;ADAM17;FZD1;NOTCH1;AXIN1;JAG2;AXIN2;DLL1;NOTCH4;FRAT1;HDAC11;JAG1;HDAC5;RBPJ;DVL2;NKD1;CUL1;LEF1
TDRP,MSigDB_Hallmark_2020,prerank,Estrogen Response Early,-0.3850237401375369,-1.1028587558232688,0.21739130434782608,1.0,0.999,72/198,21.10%,AREG;SFN;ENDOD1;KRT15;ANXA9;CXCL12;TIAM1;PGR;KLK10;SEMA3B;KLF4;CD44;FCMR;PTGES;SLC1A1;SLC2A1;GJA1;DHRS3;IL17RB;CLDN7;FRK;RHOD;MAPT;RAPGEFL1;WFS1;NRIP1;OVOL2;MINDY1;SYBU;MLPH;MED24;ABAT;FDFT1;STC2;TTC39A;KCNK5;RRP12;TMEM164;MUC1;FARP1;LRIG1;IGF1R;IL6ST;SLC27A2;SYNGR1;DLC1;JAK2;SULT2B1;PRSS23;ABHD2;MYOF;HSPB8;RHOBTB3;KAZN;RET;INPP5F;NADSYN1;ESRP2;TIPARP;SLC24A3;SLC7A2;ISG20L2;TPBG;SOX3;AFF1;SCNN1A;CELSR1;TGIF2;BCL11B;MPPED2;SLC7A5;SYT12
TDRP,MSigDB_Hallmark_2020,prerank,Myc Targets V1,0.3451690387643727,1.0923458762916798,0.1762114537444934,0.9405414625825474,0.939,96/199,23.14%,TXNL4A;HSPE1;SSB;MRPL9;DDX18;EEF1B2;PRDX3;USP1;EIF2S1;HDAC2;DHX15;GNL3;CCT4;CCT7;NDUFAB1;SF3B3;CCNA2;TARDBP;HPRT1;PGK1;PSMA7;ORC2;EPRS1;TCP1;CLNS1A;PSMC4;RRM1;SNRPG;HNRNPA2B1;SNRPA1;SLC25A3;HNRNPA3;NOP16;CSTF2;YWHAQ;ILF2;VBP1;C1QBP;CYC1;VDAC3;HNRNPD;EIF3J;PCNA;HSPD1;SRSF3;BUB3;PSMA6;IFRD1;IARS1;H2AZ1;EIF3B;PPIA;RPL22;NOP56;RPS2;KARS1;SRSF7;PSMA2;UBA2;DUT;NME1;SNRPD1;PABPC1;SYNCRIP;MYC;FAM120A;CCT2;SMARCC1;PHB2;SSBP1;RPS3;SRM;TUFM;SRSF1;PRDX4;RSL1D1;PSMC6;EIF4E;RPS10;KPNB1;ERH;RPS5;NCBP1;RUVBL2;EIF4A1;TRIM28;PSMB3;SRSF2;LSM7;AIMP2;LSM2;ODC1;XPOT;HNRNPU;CAD;RPL18
TDRP,MSigDB_Hallmark_2020,prerank,Allograft Rejection,-0.37422993975418267,-1.070150496816019,0.29117259552042163,1.0,1.0,51/200,20.11%,MAP4K1;ITGAL;CD7;HLA-G;CTSS;ITGB2;CD40;CFP;HLA-E;ICOSLG;C2;SRGN;ST8SIA4;ICAM1;WAS;HCLS1;CDKN2A;NOS2;IL18;CD74;HLA-DMA;LYN;F2;UBE2N;LTB;IL7;IRF8;TAP2;CXCL13;LCP2;EIF5A;IRF4;CD47;CD96;ELF4;IL11;LIF;GLMN;JAK2;PF4;DYRK3;PRKCB;MMP9;ACHE;IGSF6;RIPK2;FAS;PRKCG;KLRD1;CSK;PSMB10
TDRP,MSigDB_Hallmark_2020,prerank,p53 Pathway,-0.37351595472808435,-1.0582252322750585,0.3188976377952756,1.0,1.0,84/199,26.44%,SFN;TRIB3;ATF3;EI24;RRAD;APP;KLF4;DDIT3;PMM1;SPHK1;MAPKAPK3;ZBTB16;RNF19B;CDKN2A;RAD51C;RXRA;CD82;IP6K2;PLK3;NOTCH1;CTSF;ABAT;IL1A;TNNI1;BMP2;CDKN1A;VWA5A;BAX;FDXR;PLK2;JAG2;KLK8;DEF6;DRAM1;CEBPA;TP63;TRAF4;LIF;SP1;BAK1;PPM1D;IER3;EPHA2;POM121;RGS16;PIDD1;GLS2;FGF13;FAS;GADD45A;SESN1;PLXNB2;SLC3A2;ABCC5;BTG1;DDIT4;AEN;NOL8;CYFIP2;RAP2B;GM2A;RCHY1;RALGDS;ST14;CDK5R1;HBEGF;TPRKB;TGFA;BTG2;TRAFD1;SDC1;DGKA;TPD52L1;WWP1;FBXW7;DDB2;CCP110;IRAK1;RETSAT;EPS8L2;PITPNC1;FOXO3;TAX1BP3;ACVR1B
TDRP,MSigDB_Hallmark_2020,prerank,KRAS Signaling Up,-0.3703031185301055,-1.053663225282838,0.33509234828496043,1.0,1.0,62/200,19.72%,MAP4K1;ADGRL4;LAT2;CTSS;LY96;NR1H4;USH1C;ITGB2;G0S2;ANGPTL4;ERO1A;H2BC3;ETV4;FGF9;TNNT2;CFB;SNAP25;ADGRA2;MYCN;SEMA3B;KLF4;ANO1;ETV5;IGFBP3;ADAM17;NAP1L2;TMEM176B;ZNF639;ID2;F13A1;IKZF1;IRF8;ABCB1;ATG10;EMP1;BMP2;VWA5A;TMEM100;PRDM1;RELN;DOCK2;HSD11B1;SATB1;CLEC4A;CDADC1;GFPT2;MPZL2;WDR33;LIF;CMKLR1;PLAU;TNFRSF1B;USP12;RGS16;MMP9;EPB41L3;MMP11;ALDH1A3;BTBD3;TRIB2;F2RL1;DCBLD2
TDRP,MSigDB_Hallmark_2020,prerank,KRAS Signaling Dn,-0.3678132042566613,-1.051936235392529,0.33025099075297226,1.0,1.0,47/199,15.69%,MAST3;RIBC2;GPRC5C;BRDT;EPHA5;SLC30A3;PDK2;HTR1B;CACNG1;KRT15;SLC12A3;GPR19;SLC6A3;SERPINA10;PNMT;GPR3;PDCD1;ZBTB16;PAX3;TENT5C;STAG3;ZC2HC1C;CPA2;ZNF112;SELENOP;SYNPO;PDE6B;KCNE2;OXT;CKM;GTF3C5;KLK7;RGS11;CCNA1;NOS1;MFSD6;PLAG1;KLK8;MYOT;UPK3B;KCNMB1;MYO15A;ATP4A;SOX10;EFHD1;KCND1;ITGB1BP2
