gene,TDRP,ERICH1,ARHGEF10,KBTBD11,CLN8
DDX11L2,0.0,0.0,0.0,0.0,0.0
MIR1302-2HG,5.437625855207443,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0
ENSG00000290826,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0
ENSG00000238009,0.031133323907852173,-1.603619784116745,0.08214858174324036,1.5252622663974762,0.7237060368061066
ENSG00000239945,0.0,0.0,0.0,0.0,0.0
ENSG00000239906,0.0,0.0,0.0,0.0,0.0
ENSG00000241860,0.4196007400751114,1.2311479151248932,1.3253239691257477,1.0950352251529694,-0.19076162576675415
ENSG00000241599,0.0,0.0,3.619243800640106,0.0,2.34195476770401
ENSG00000286448,0.0,0.0,0.0,0.0,0.0
ENSG00000236601,0.0,0.0,0.0,0.0,0.0
ENSG00000290385,0.820560097694397,-0.0410933792591095,0.1056828647851944,0.8683071136474609,1.3484383821487427
ENSG00000235146,0.0,0.0,0.0,0.0,0.0
ENSG00000291215,0.1926339864730835,0.40731215476989746,-1.44208425283432,0.5420160889625549,-0.05099496245384216
ENSG00000229905,0.0,2.5421939492225647,0.0,0.0,0.0
LINC01409,-0.6014699339866638,-1.4941081702709198,-0.7454034984111786,-0.33256882429122925,-1.2826149612665176
ENSG00000290784,-0.452301949262619,-0.30908697843551636,-2.052405059337616,0.011465728282928467,-0.9846924692392349
FAM87B,4.459092974662781,2.9382413625717163,4.598246455192566,0.0,2.9754515886306763
LINC00115,-1.0744231343269348,-2.5466367602348328,-1.02848020195961,-0.6477224305272102,-0.07313460111618042
LINC01128,0.04467083141207695,0.44579459354281425,-0.9348093755543232,-1.3993728645145893,-0.18693051114678383
ENSG00000288531,0.0,0.0,0.0,3.9768050611019135,0.0
FAM41C,0.0,0.0,0.0,0.0,0.0
ENSG00000272438,-2.86124050617218,-0.743908166885376,-1.3125980570912361,0.3508092164993286,-0.7232269644737244
ENSG00000230699,0.0,1.4441596865653992,0.0,0.0,1.4624487161636353
ENSG00000241180,0.0,0.0,0.0,0.0,0.0
